Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,102.860001,103.540001,102.650002,102.690002,63000,98.082649
2013-12-30,102.769997,102.93,102.50,102.75,17200,98.139955
2013-12-27,103.050003,103.050003,102.32,102.599998,53100,97.996683
2013-12-26,103.150002,103.349998,102.720001,102.790001,12000,98.178161
2013-12-24,102.650002,103.040001,102.650002,102.959999,10600,98.340532
2013-12-23,101.690002,102.440002,101.690002,102.330002,18600,97.7388
2013-12-20,99.93,102.480003,98.330002,101.599998,23000,97.04155
2013-12-19,102.910004,102.980003,102.040001,102.120003,17200,95.205788
2013-12-18,101.800003,103.099998,101.370003,103.099998,34200,96.119431
2013-12-17,101.900002,101.900002,101.220001,101.629997,11500,94.748959
2013-12-16,101.169998,102.010002,101.169998,101.830002,17300,94.935422
2013-12-13,100.68,100.949997,100.220001,100.739998,23400,93.919219
2013-12-12,100.260002,100.779999,100.080002,100.279999,11600,93.490365
2013-12-11,101.599998,101.599998,99.860001,100.040001,20200,93.266616
2013-12-10,102.18,102.50,101.510002,101.599998,40800,94.720991
2013-12-09,102.849998,102.849998,102.309998,102.589996,29800,95.64396
2013-12-06,102.800003,103.18,102.57,102.849998,11700,95.886358
2013-12-05,101.68,102.169998,101.589996,101.970001,9500,95.065942
2013-12-04,101.550003,102.68,100.889999,101.730003,17100,94.842194
2013-12-03,102.300003,102.68,101.68,102.18,8200,95.261723
2013-12-02,103.949997,104.389999,102.150002,102.519997,53400,95.578699
2013-11-29,104.18,105.089996,103.800003,103.910004,7900,96.874594
2013-11-27,103.230003,103.849998,103.230003,103.779999,9200,96.753391
2013-11-26,102.360001,103.379997,102.279999,103.129997,10000,96.147399
2013-11-25,102.699997,105.330002,102.239998,102.349998,20200,95.420211
2013-11-22,102.080002,102.489998,101.660004,102.489998,10500,95.550732
2013-11-21,100.459999,102.019997,100.459999,101.75,10000,94.860837
2013-11-20,100.650002,100.860001,99.910004,100.150002,17100,93.369169
2013-11-19,100.93,101.550003,100.07,100.199997,14000,93.415779
2013-11-18,101.459999,101.68,100.410004,100.849998,17400,94.021771
2013-11-15,101.040001,101.389999,100.800003,101.18,4000,94.32943
2013-11-14,100.849998,101.010002,100.209999,100.879997,9600,94.049739
2013-11-13,99.449997,100.580002,99.440002,100.580002,105300,93.770055
2013-11-12,99.839996,99.989998,99.43,99.860001,18500,93.098803
2013-11-11,100.139999,100.260002,99.699997,99.980003,558100,93.210681
2013-11-08,98.349998,100.18,98.349998,99.82,12300,93.061511
2013-11-07,100.040001,100.309998,98.199997,98.370003,7600,91.709688
2013-11-06,100.160004,100.169998,99.75,99.769997,6800,93.014893
2013-11-05,99.50,100.209999,99.50,100.00,13700,93.229324
2013-11-04,99.199997,100.120003,99.199997,100.110001,7500,93.331876
2013-11-01,99.699997,101.209999,98.25,98.949997,19400,92.250413
2013-10-31,99.800003,99.989998,99.139999,99.790001,9300,93.033543
2013-10-30,101.080002,101.080002,99.690002,100.00,109300,93.229324
2013-10-29,101.080002,101.309998,100.449997,101.00,8200,94.161617
2013-10-28,100.699997,100.720001,100.089996,100.699997,10000,93.881926
2013-10-25,100.459999,100.660004,100.080002,100.370003,17800,93.574275
2013-10-24,100.00,100.639999,99.68,100.459999,20000,93.658178
2013-10-23,99.43,99.989998,99.300003,99.860001,17400,93.098803
2013-10-22,100.279999,100.660004,99.709999,100.220001,11300,93.434429
2013-10-21,100.010002,100.260002,99.720001,99.830002,33400,93.070835
2013-10-18,99.580002,101.540001,98.300003,100.010002,11600,93.238649
2013-10-17,97.400002,98.669998,97.400002,98.669998,28100,91.989372
2013-10-16,97.099998,97.959999,96.589996,97.75,106500,91.131664
2013-10-15,97.529999,97.57,96.50,96.910004,36600,90.348541
2013-10-14,96.760002,97.860001,95.910004,97.720001,10400,91.103696
2013-10-11,95.519997,97.050003,95.519997,97.010002,7500,90.441769
2013-10-10,94.949997,95.889999,94.620003,95.669998,15400,89.192492
2013-10-09,94.00,94.120003,93.010002,93.660004,21100,87.318588
2013-10-08,95.07,95.07,93.599998,93.699997,9700,87.355873
2013-10-07,95.239998,95.440002,93.699997,94.879997,13400,88.45598
2013-10-04,95.510002,96.239998,95.290001,95.910004,6300,89.416248
2013-10-03,96.290001,96.639999,94.919998,95.449997,26900,88.987387
2013-10-02,96.480003,96.690002,96.25,96.370003,72700,89.845102
2013-10-01,95.959999,96.830002,95.400002,96.790001,14800,90.236663
2013-09-30,94.879997,95.889999,94.839996,95.839996,18800,89.35098
2013-09-27,95.230003,96.010002,95.230003,95.889999,9000,89.397598
2013-09-26,95.629997,96.449997,95.580002,95.900002,16800,89.406923
2013-09-25,95.639999,96.43,95.389999,95.660004,14300,89.183174
2013-09-24,95.57,96.50,95.25,96.199997,15800,89.686606
2013-09-23,95.059998,95.629997,94.949997,95.550003,15000,89.080622
2013-09-20,96.099998,97.089996,95.470001,95.510002,29600,89.043329
2013-09-19,96.150002,96.790001,95.610001,95.779999,41700,89.080618
2013-09-18,95.129997,96.389999,94.410004,96.07,15300,89.350334
2013-09-17,94.360001,95.120003,94.00,95.120003,6400,88.466785
2013-09-16,95.150002,95.150002,94.339996,94.370003,11700,87.769244
2013-09-13,93.900002,94.199997,93.510002,94.129997,6900,87.546026
2013-09-12,94.010002,94.169998,93.519997,93.589996,14900,87.043796
2013-09-11,94.779999,94.779999,93.93,94.169998,25600,87.583229
