Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,1842.609985,1849.439941,1842.410034,1848.359985,2312840000,1848.359985
2013-12-30,1841.469971,1842.469971,1838.77002,1841.069946,2293860000,1841.069946
2013-12-27,1842.969971,1844.890015,1839.810059,1841.400024,2052920000,1841.400024
2013-12-26,1834.959961,1842.839966,1834.959961,1842.02002,1982270000,1842.02002
2013-12-24,1828.02002,1833.319946,1828.02002,1833.319946,1307630000,1833.319946
2013-12-23,1822.920044,1829.75,1822.920044,1827.98999,2851540000,1827.98999
2013-12-20,1810.390015,1823.75,1810.25,1818.319946,5097700000,1818.319946
2013-12-19,1809.00,1810.880005,1801.349976,1809.599976,3497210000,1809.599976
2013-12-18,1781.459961,1811.079956,1767.98999,1810.650024,4327770000,1810.650024
2013-12-17,1786.469971,1786.77002,1777.050049,1781.00,3270030000,1781.00
2013-12-16,1777.47998,1792.219971,1777.47998,1786.540039,3209890000,1786.540039
2013-12-13,1777.97998,1780.920044,1772.449951,1775.319946,3061070000,1775.319946
2013-12-12,1781.709961,1782.98999,1772.280029,1775.50,3306640000,1775.50
2013-12-11,1802.76001,1802.969971,1780.089966,1782.219971,3472240000,1782.219971
2013-12-10,1807.599976,1808.52002,1801.75,1802.619995,3117150000,1802.619995
2013-12-09,1806.209961,1811.52002,1806.209961,1808.369995,3129500000,1808.369995
2013-12-06,1788.359985,1806.040039,1788.359985,1805.089966,3150030000,1805.089966
2013-12-05,1792.819946,1792.819946,1783.380005,1785.030029,3336880000,1785.030029
2013-12-04,1793.150024,1799.800049,1779.089966,1792.810059,3610540000,1792.810059
2013-12-03,1800.099976,1800.099976,1787.849976,1795.150024,3475680000,1795.150024
2013-12-02,1806.550049,1810.02002,1798.599976,1800.900024,3095430000,1800.900024
2013-11-29,1808.689941,1813.550049,1803.97998,1805.810059,1598300000,1805.810059
2013-11-27,1803.47998,1808.27002,1802.77002,1807.22998,2613590000,1807.22998
2013-11-26,1802.869995,1808.420044,1800.77002,1802.75,3427120000,1802.75
2013-11-25,1806.329956,1808.099976,1800.579956,1802.47998,2998540000,1802.47998
2013-11-22,1797.209961,1804.839966,1794.699951,1804.76001,3055140000,1804.76001
2013-11-21,1783.52002,1797.160034,1783.52002,1795.849976,3256630000,1795.849976
2013-11-20,1789.589966,1795.72998,1777.22998,1781.369995,3109140000,1781.369995
2013-11-19,1790.790039,1795.51001,1784.719971,1787.869995,3224450000,1787.869995
2013-11-18,1798.819946,1802.329956,1788.00,1791.530029,3168520000,1791.530029
2013-11-15,1790.660034,1798.219971,1790.660034,1798.180054,3254820000,1798.180054
2013-11-14,1782.75,1791.530029,1780.219971,1790.619995,3139060000,1790.619995
2013-11-13,1764.369995,1782.00,1760.640015,1782.00,3327480000,1782.00
2013-11-12,1769.51001,1771.780029,1762.290039,1767.689941,3221030000,1767.689941
2013-11-11,1769.959961,1773.439941,1767.849976,1771.890015,2534060000,1771.890015
2013-11-08,1748.369995,1770.780029,1747.630005,1770.609985,3837170000,1770.609985
2013-11-07,1770.73999,1774.540039,1746.199951,1747.150024,4143200000,1747.150024
2013-11-06,1765.00,1773.73999,1764.400024,1770.48999,3322100000,1770.48999
2013-11-05,1765.670044,1767.030029,1755.76001,1762.969971,3516680000,1762.969971
2013-11-04,1763.400024,1768.780029,1761.560059,1767.930054,3194870000,1767.930054
2013-11-01,1758.699951,1765.670044,1752.699951,1761.640015,3686290000,1761.640015
2013-10-31,1763.23999,1768.530029,1755.719971,1756.540039,3826530000,1756.540039
2013-10-30,1772.27002,1775.219971,1757.23999,1763.310059,3523040000,1763.310059
2013-10-29,1762.930054,1772.089966,1762.930054,1771.949951,3358460000,1771.949951
2013-10-28,1759.420044,1764.98999,1757.670044,1762.109985,3282300000,1762.109985
2013-10-25,1756.01001,1759.819946,1752.449951,1759.77002,3175720000,1759.77002
2013-10-24,1747.47998,1753.939941,1745.50,1752.069946,3671700000,1752.069946
2013-10-23,1752.27002,1752.27002,1740.50,1746.380005,3713380000,1746.380005
