Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,186.490005,187.789993,186.300003,187.570007,3619700,178.996334
2013-12-30,185.320007,186.699997,184.669998,186.410004,3018600,177.889353
2013-12-27,185.839996,186.50,184.559998,185.080002,3381600,176.620144
2013-12-26,183.559998,185.559998,183.509995,185.350006,3325700,176.877807
2013-12-24,181.960007,183.50,181.910004,183.220001,1613600,174.845163
2013-12-23,181.050003,182.929993,180.610001,182.229996,4079900,173.90041
2013-12-20,180.119995,182.00,180.020004,180.020004,7653500,171.791435
2013-12-19,177.880005,180.539993,177.880005,180.220001,5927000,171.98229
2013-12-18,176.449997,178.740005,174.850006,178.699997,5697700,170.531764
2013-12-17,177.360001,177.490005,175.119995,175.759995,5471900,167.726147
2013-12-16,173.220001,178.350006,172.729996,177.850006,7517000,169.720626
2013-12-13,173.520004,174.380005,172.729996,172.800003,4184400,164.901454
2013-12-12,175.059998,175.800003,173.300003,173.369995,5671600,165.445393
2013-12-11,177.00,177.759995,175.100006,175.199997,4090400,167.191747
2013-12-10,176.899994,177.669998,176.059998,177.119995,4127800,169.023983
2013-12-09,177.990005,178.149994,176.830002,177.460007,3796600,169.348453
2013-12-06,176.699997,178.00,176.009995,177.669998,4739800,169.548846
2013-12-05,176.149994,176.860001,175.279999,176.080002,4384900,168.031527
2013-12-04,175.369995,177.50,175.160004,175.740005,5267400,167.707072
2013-12-03,177.00,178.229996,175.639999,176.080002,5864000,168.031527
2013-12-02,179.460007,179.589996,177.119995,177.479996,4560000,169.367528
2013-11-29,179.210007,180.759995,179.00,179.679993,2870500,171.466965
2013-11-27,177.830002,180.179993,177.820007,178.970001,4596500,170.789427
2013-11-26,178.669998,178.940002,177.309998,177.309998,5756000,169.205301
2013-11-25,180.25,180.75,177.820007,178.940002,7161900,170.760799
2013-11-22,183.50,184.990005,179.919998,181.300003,7610200,173.012926
2013-11-21,185.539993,185.75,183.410004,184.130005,4459500,175.713571
2013-11-20,185.220001,186.240005,184.649994,185.190002,3645800,176.725117
2013-11-19,184.630005,186.199997,184.149994,185.25,4577000,176.782372
2013-11-18,183.520004,184.990005,183.270004,184.470001,5344900,176.038026
2013-11-15,182.380005,183.279999,181.160004,183.190002,5176100,174.816535
2013-11-14,180.479996,183.199997,179.660004,182.210007,6321500,173.881334
2013-11-13,182.270004,183.550003,181.589996,183.550003,4704400,175.160081
2013-11-12,182.529999,184.050003,182.259995,183.070007,4258500,174.702025
2013-11-11,180.190002,183.389999,180.039993,182.880005,5222300,174.520707
2013-11-08,178.830002,180.080002,177.350006,179.990005,6275000,171.762808
2013-11-07,179.600006,181.389999,179.600006,180.00,5219500,171.772345
2013-11-06,177.910004,179.75,177.779999,179.190002,4560700,170.999372
2013-11-05,179.539993,179.800003,177.710007,177.850006,6096800,168.814045
2013-11-04,179.899994,180.800003,179.339996,180.270004,3483300,171.111091
2013-11-01,179.809998,180.339996,178.880005,179.229996,3644500,170.123922
2013-10-31,179.649994,181.669998,179.039993,179.210007,4318100,170.104948
2013-10-30,181.690002,182.179993,179.860001,180.149994,5273700,170.997178
2013-10-29,177.619995,182.320007,177.50,182.119995,8904600,172.86709
2013-10-28,177.039993,177.889999,176.199997,177.350006,3712700,168.339448
2013-10-25,178.429993,179.100006,176.259995,176.850006,4842800,167.864851
2013-10-24,176.429993,177.889999,176.25,177.800003,5533300,168.766582
2013-10-23,175.089996,175.990005,174.399994,175.770004,5409400,166.839721
2013-10-22,173.350006,175.570007,172.949997,174.970001,6977300,166.080363
2013-10-21,174.419998,174.75,172.630005,172.860001,7098700,164.077565
2013-10-18,174.800003,175.00,173.25,173.779999,10548000,164.950821
2013-10-17,173.839996,177.00,172.570007,174.830002,22368900,165.947477
2013-10-16,185.419998,186.729996,184.990005,186.729996,6718000,177.242872
2013-10-15,185.740005,185.940002,184.220001,184.660004,3365100,175.278049
2013-10-14,185.410004,186.990005,184.419998,186.970001,2663100,177.470683
2013-10-11,185.25,186.229996,184.119995,186.160004,3232600,176.701839
2013-10-10,183.169998,184.770004,182.360001,184.770004,3658900,175.382461
2013-10-09,179.369995,181.669998,179.100006,181.320007,4423500,172.107747
2013-10-08,181.889999,181.990005,178.710007,178.720001,5578300,169.639838
2013-10-07,181.850006,183.309998,181.850006,182.009995,3966400,172.762678
2013-10-04,184.169998,185.130005,183.580002,184.100006,2863600,174.746503
2013-10-03,184.699997,184.960007,183.00,183.860001,3211800,174.518691
2013-10-02,185.539993,186.309998,184.410004,184.960007,3617100,175.56281
2013-10-01,185.339996,186.649994,184.649994,186.380005,2681200,176.910663
2013-09-30,185.559998,186.740005,184.339996,185.179993,3978200,175.771619
2013-09-27,188.869995,188.940002,186.449997,186.919998,3905500,177.423221
2013-09-26,190.100006,191.759995,189.460007,190.220001,2093600,180.555562
2013-09-25,190.139999,190.619995,188.50,189.470001,2654500,179.843667
2013-09-24,190.929993,191.559998,189.660004,189.970001,3085300,180.318263
2013-09-23,190.059998,192.410004,189.330002,190.990005,3340800,181.286445
2013-09-20,193.960007,194.429993,190.020004,190.020004,8525900,180.365726
2013-09-19,194.179993,194.889999,193.220001,193.389999,3178100,183.564503
2013-09-18,192.600006,194.889999,192.00,194.419998,3841800,184.542171
2013-09-17,193.419998,194.149994,191.830002,192.160004,2930900,182.396999
2013-09-16,193.699997,194.809998,192.610001,193.149994,3902400,183.336691
